filler,total_volume,last_trade_date
4syGe3Mu1osZorc4QAz4UgkJXdK1H4omAgKC6DL5EaGn,700749.3449799997,2025-02-21 18:37:08.000 UTC
3X4HBz8e1smS6gdCfAvWRosykX3cJFz1AH3qq9kdYxMM,670722.6329999999,2025-01-22 20:32:32.000 UTC
DmMfUa17Taz8MzC6ao4LXbsK6AFVvGwmAMe6V4LvEZFL,650204.95594,2025-01-29 23:31:04.000 UTC
7hT3GiwPeH3xLoH8iqMaQgALpWHy8usnDKPRcJ52Lm7D,650171.3538129998,2025-02-21 19:26:38.000 UTC
EqVWHKBTuuHyubuqxeyoQg5eCg1u2aooLiCsB6kWbXsT,619794.5503400001,2025-02-21 16:02:14.000 UTC
2veJTtKRTAhQAxdQW4Bcw8LcJDLtBaC9EoWiNAj8wtvG,616524.19249,2025-02-22 00:32:45.000 UTC
GNaLUjCr898hibDod8F5FH1WegYi5JbjqM6ZzBc7hYbc,611956.4571000001,2025-02-19 18:33:21.000 UTC
363zcEm331Cu1GwgU7H2UPV4SyF332zDqUSBn3iiTiTk,593191.3686590003,2025-02-21 21:28:22.000 UTC
GH39EoBpfQLYGhUvGfF9GSMwwhNPFVjoiZusTFR2eFYq,592463.0061910001,2025-02-19 00:02:44.000 UTC
2pWZEd7mGPPpGfjG7c8sBJmiZxjuu6M3xE6U9xwEhMbp,585108.105,2025-01-17 17:08:25.000 UTC
CDg8tCCU3aYBW12UckMpvjsPJxPMjmqRfZJNN5UkZweo,581235.1580499999,2025-02-21 10:54:41.000 UTC
BYeFMs5tGdXuEGiRXaxmkkjhwJeezr25JHQsZzo1hnfq,558323.0524899999,2025-02-21 16:15:53.000 UTC
CU8r2UiT3s1nHVEuZMbK5W8LgUAA6SQfTmTDFCRvXPRe,552216.187457,2025-02-19 16:52:33.000 UTC
DoqFaro2iiCc661XQbmStQUDfKXrycbuQfax2Vfi7MNk,543698.622651,2025-02-19 23:05:13.000 UTC
DKeKkEhMySWYjdvyfmkf6tz7NtBPZF8S765jPGFJZXU5,541661.7956409999,2025-02-19 05:02:39.000 UTC
7m5N8g9rYKFSeTPmcBn1PcCsh1qGP2Zz47y8urrgsZLt,528445.5273089999,2025-02-18 22:10:25.000 UTC
