block_number,blockchain,tx_hash,debt_vault_address,collateral_vault_address,unit_of_account,debt_token_amount,debt_price,collateral_token_amount,collateral_price,oracle_address
21573389,ethereum,0x13c48fc8f235370eb111c7f1e11efe04b749b63ca1a556924585d8d108df9a65,0x797dd80692c3b2dadabce8e30c07fde5307d48a9,0xf6e2efdf175e7a91c8847dade42f2d39a9ae57d4,0x0000000000000000000000000000000000000348,193366001063.0,193359.14817192234,4.659186462730142e+19,195343.3405298035,0x83b3b76873d36a28440cf53371df404c42497136
20694111,ethereum,0xdcde4afdcd2d580d38252d0867dfbaed77fdc32beb20aa14eb3e674be380894e,0x797dd80692c3b2dadabce8e30c07fde5307d48a9,0xf6e2efdf175e7a91c8847dade42f2d39a9ae57d4,0x0000000000000000000000000000000000000348,101680464580.0,101680.68726021743,4.0335398260534256e+19,102661.25633473074,0x83b3b76873d36a28440cf53371df404c42497136
26304777,base,0x5ef43c4a6ec2b12db44eee355865c8b661349b89a3a3c949d66248e4161c70ce,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,7679320879298665.0,,21076903.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25915530,base,0x189552d96811584d02e976eccb47fa4ce591b529855e94bbb716d71395dc72d7,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,5951419055453184.0,,17067156.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25624905,base,0x9a192ea22bc1e3618977aac47999fe95d781a3f32536f534f30a0cf260935f9a,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,6613402892134640.0,,21523597.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25880315,base,0x10bb72affb2648abca5314315d1c504c00c02f9bb56efaf6bb8eb1bb525f7f56,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,19739865.0,,8656062569143778.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25726911,base,0x2d99ebcfc7c5a49b88e3e9fd63258bb6ec576f94458928fcfde445048754c58c,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,7186367610189049.0,,23431867.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
26088250,base,0xd3f1506b4d0efbf34903b483c9df855cf3ef8b51a00941f82815619c17b59c8b,0x882018411bc4a020a879cee183441fc9fa5d7f8b,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,20777.0,,7745047178271119.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25008616,base,0x1163ea2ade84e624e7bc1f760beb9c7b0309e533f07862e33d0f572e4a68b552,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,6798868708428299.0,,21277654.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25911316,base,0xc8e0728224a49a6c5feb759ed8e1c6171f3e83431ffd8f0affae483c55478cb9,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,1752250143598971.0,,5010071.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25038211,base,0x3c6367df8bbbcc8c12854e589fe45957862cee44faa66e109f4cc51f371210fb,0x882018411bc4a020a879cee183441fc9fa5d7f8b,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,7180.0,,6984957.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25726812,base,0x59bb3a65501b75c2b531ff83e1bd2e83ed4ede1ad2f7bda9b83cc63215dac5d3,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,5988854536491649.0,,19446199.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25871239,base,0x048958f0f2b3deadb6449f7cd3509e2add7585afb1f392dece5a300eda6002f5,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,19921187.0,,6858545125733651.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25769493,base,0x3ef834f37286b9457036855d06366dbae419ff116e9851202130eae7bf27dca3,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x882018411bc4a020a879cee183441fc9fa5d7f8b,0x0000000000000000000000000000000000000348,6973731706599759.0,,22436.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
24564929,base,0xaf30196b82b8b3426e210c59dd417a243b21a937e6f4ba2ba6885734d7ba36ec,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x882018411bc4a020a879cee183441fc9fa5d7f8b,0x0000000000000000000000000000000000000348,4393635.0,,4885.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25178735,base,0xcb01f48c96708819c34eac6e53ed35d9e0ed053b302fd6354b46af196d34ad00,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,6023570856465465.0,,21189953.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25866099,base,0xe841c0c71078bec1508b85ec3de87c788af6b464ed6ed6edd122acf04830f535,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,20390902.0,,7067885098470272.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25008485,base,0x272456fdbbd532706e111132cbc24b5437bb92b2cba526ac507e556e50aac48f,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,271954745926907.0,,851107.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25709962,base,0xe86ffa76321cd4848ea6cc1cebe208911e9b589d47d76505c6851f4170b85e9c,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x0000000000000000000000000000000000000348,2675800245336790.0,,8578157.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
26089447,base,0xd0b5f9104eaf125951e6f412e55d9c6fde2e89d82ddc251644af1c89d89a1f7d,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,742041.0,,298221239037330.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
21763441,ethereum,0xaf044cc9304289353ef0c07e6e5012a0906107423c30e4b071290be51aa5ad86,0xbc35161043ee2d74816d421efd6a45fda73b050a,0xd8b27cf359b7d15710a5be299af6e7bf904984c2,0x0000000000000000000000000000000000000348,2259121.0,2129.48585063136,8.99410220498664e+17,2292.2001201818944,0x83b3b76873d36a28440cf53371df404c42497136
25881008,base,0x988a09c21b7c6f28095a8009d31f4dae66c71a51b0b26745e11ee714d780998b,0x3f0d3fd87a42bdaa3dfcc13ada42ea922e638a7a,0x358f25f82644eabb441d0df4af8746614fb9ea49,0x0000000000000000000000000000000000000348,375678.0,,1.3087474065703518e+17,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25880695,base,0xeb9e765dde4d87070e55b5c93c628749c87fcb9cca97c1cb20ae9e7e01a236a9,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,20699463.0,,8398015216136523.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
26219279,base,0xf4a7e015c5fc6de0ba5158be041179a91bc09cef2d85bfddf80cc7c09f984b41,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,28942.0,,12771082648829.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
25880630,base,0xb8062b85dfc40dae8a575b16d2a4b27586b221519623894bf2d9bdcc2eaf166b,0x0a1a3b5f2041f33522c4efc754a7d096f880ee16,0x859160db5841e5cfb8d3f144c6b3381a85a4b410,0x0000000000000000000000000000000000000348,9012691.0,,3765377711612287.0,,0x6e183458600e66047a0f4d356d9daa480da1ca59
21501013,ethereum,0xca9451cb20b14a865fa3bb505db2dca7d56cf14328259d05571fd6f87434cecf,0x298966b32c968884f716f762f6759e8e5811ae14,0x797dd80692c3b2dadabce8e30c07fde5307d48a9,0x0000000000000000000000000000000000000348,9.8484589037247e+21,9848.4589037247,9884226994.0,9989.818493,0x83b3b76873d36a28440cf53371df404c42497136
