filler,total_volume,last_trade_date
7gnC9MqVnxXPWPFYfB4vCKy3t91UbDVLZAXCfRGpwsZL,6.960815815379998e+06,2024-12-30 21:58:02.000 UTC
7dMSqwuRZhsoLeRwdjNdxeFu9JeGJzhaV84DCeMMF93c,6.873015374440003e+06,2024-12-30 23:39:20.000 UTC
DFymK8xK2bFnKU3BqnLtcH1RfFc3oPGsNXKvrj57YVTq,6.562200332257999e+06,2024-12-13 01:40:23.000 UTC
8uZ92cGz39yZYR7EoqDbk29R6vEJp1Pre88QdHG5gBhJ,6.543644958062003e+06,2024-12-30 22:55:49.000 UTC
6wyDNyyFFePENDg6TU9HZU8523cKW5yUkZ2cZ6hZTViw,6.364457734971998e+06,2024-12-08 05:02:01.000 UTC
AhXNyAybxhwgwmwGeMKHCrt6nPZEU7mYtttLbRQj2M2j,6.329722676528001e+06,2024-09-24 22:33:58.000 UTC
DbdaoNXfeauv7535JHJcj3G9xKbUsxnSFzCpiNRtA8GV,6.292990517695997e+06,2024-12-04 22:27:06.000 UTC
62o2sxnHe6Cw38gPNnDU7zqp6qH5jaJ1e42K2dVXE3jA,6.288110964257999e+06,2024-10-23 20:52:39.000 UTC
7FkFZz1mxwvZN9rJMzfAitGW3ZrEritLxqEkmPaxaTr8,6.064004804183001e+06,2024-12-30 16:35:09.000 UTC
3PdTTFXekjCe7kLiMPPvwNxphpA94T6beXWGEbKRs7ZG,5.8338380870320005e+06,2024-12-10 02:48:34.000 UTC
2oDyzGFUzLmKTAcu3ua1gHeVk3enLNMrYST3nojhf5qp,5.802427581480001e+06,2024-12-24 22:38:09.000 UTC
2wvp7HugpccawPcuJ4rTtPg56vDAbotAJkm5EdVsq5jW,5.622878191307001e+06,2024-12-20 11:56:08.000 UTC
3Wm638Sunc35Zg2imigfy76WEtFtbBf5gihNY4rjSSb5,5.458394308127e+06,2024-10-03 13:54:06.000 UTC
FB4HdXLitM6hvRsgJDEsQQUDdJeE5Sp2uxTYHcYxtnrh,5.378145458046999e+06,2024-12-20 06:46:31.000 UTC
GBstcmbf2E7MmJPTqbkYtPD8iqhKmmgssSqYZBLUR5oM,5.286917091846001e+06,2024-12-20 08:39:45.000 UTC
Gw6hSTWdTjYQdj7dV6bzftCUxdNHE9TYdgZPxh7U7UHh,4.9066858395569995e+06,2024-12-25 12:20:44.000 UTC
GnZEPhR8H6mcT28XkaT9FxgRhUcHYduJkvaD6qFytrp6,4.897121116425999e+06,2024-12-30 21:40:18.000 UTC
EppBRnysPvwhmaB2Umwa9wMpMjsCqMZLyrwiphArTdFw,4.887599275004002e+06,2024-12-19 15:49:36.000 UTC
5AddZJpc9tyd9px9GVwxbTG9T83Ts1rXsteTWtWcKwX8,4.774846211009001e+06,2024-10-03 09:05:51.000 UTC
8v7po2p4SWqyevafRig8pCyzTufW8DnacKijzW6Bk1Wy,4.6752005436120005e+06,2024-11-14 11:09:21.000 UTC
Dyrn5CA4XNNrPc46twZh3AACdU6bLtttftB3hpzY1FWb,4.651663736023997e+06,2024-12-27 18:44:36.000 UTC
34FbJBk7nJ8uBK8Vzy9xtdLrhZmEtupxXRugKpK4jmao,4.498549889749e+06,2024-12-25 00:40:54.000 UTC
ANJSgvGbuGaMF3nyFNTxt66skMhhSeLWnXKaBWC9ymkY,4.386855064623999e+06,2024-12-25 20:14:15.000 UTC
GiZmR14wemaWwXfuuPDKBgip7S2mnL3NWgR4Pahx1wG4,4.280559587365e+06,2024-11-10 15:58:27.000 UTC
9bzBR2aZFC4uW7QyszBvWZViqk6gzF4EBqBhL4CgAq8e,4.253144542722e+06,2024-12-19 03:22:10.000 UTC
2YX2UoRfp6top1UiVvdvBmJdQXPABBzAq3kmBXinWgRD,4.212911346177999e+06,2024-12-19 02:16:27.000 UTC
pW53PFQHPi3Dx9MfeDMbjnNYkU9QKYdXCsH14EbaBSm,3.8155418879379993e+06,2024-11-13 15:54:18.000 UTC
9Zmn9v5A2YWUQj47bkEmcnc37ZsYe83rsRK8VV2j1UqX,3.6440599629459996e+06,2024-12-30 19:55:00.000 UTC
7ofXfGJ7X7QeZ3fsczzzwSmjhjqfMJdfZMaCygc7BSqc,3.638024418873e+06,2024-11-10 19:47:41.000 UTC
9bTBe8tTsbgRMHJnxaYuBAcqBJ8pBiPdJjSuK8EGNPHT,3.6294015716940006e+06,2024-12-30 20:01:37.000 UTC
BD1Y85aFrC2RPG5F7pxtyXSNVyzGtD63fnSJ5iFMN3ZA,3.6023476546880016e+06,2024-12-09 05:05:54.000 UTC
DTvGR2jRB8xKumc4Vc6mFSJN6hS2cQCFfoqFG9GFiVVA,3.5680241668450027e+06,2024-11-10 21:45:58.000 UTC
Gi5soUyrYvMcf6cZrEjF3PWmL67bGFx5sGFUkjYbiKGX,3.5575936424519983e+06,2024-12-30 21:40:52.000 UTC
D61eQUBW2Jj8pYbTf15Yvr4wVH5smUgoP2trsgcxzpKR,3.5316144622159996e+06,2024-12-26 19:14:42.000 UTC
Akr3C3fsq32Zr1fTzsceEXquMLhFqeAnuzHYEC1nib8b,3.525017735343e+06,2024-11-12 04:39:58.000 UTC
2SGQJ7b833osZmMoDbWcx6Dj6JHSFTxqt1u81ZbVMrC8,3.513097523746001e+06,2024-11-06 03:20:54.000 UTC
BHchhfXrPfPfitB89cFuX3MLQN3BbGKiph6pwLuB7RxC,3.5086445847049984e+06,2024-11-13 18:32:53.000 UTC
BzvYrTto9eqSDjFfwcCnAJtoswvDJzpC1T9d3T6ucewP,3.400467091044001e+06,2024-12-21 13:39:57.000 UTC
GnmZgm1qpkQTGWZYYV1YkkhwPeHBvucVfZ3BT9UimU9A,3.2319960161940004e+06,2024-12-30 19:57:41.000 UTC
2pskDb5w3Q39KVbQb4kFjcw3NFuVNzcecHh8F2CvpvKb,3.2035609257900007e+06,2024-12-19 19:50:08.000 UTC
G3faDRkfVbZQTEz88NNNtC8YErVQgz48yRyVC22Wzayp,3.1424552970720003e+06,2024-11-12 04:48:58.000 UTC
DsnuaZ8XLH2hSzmtXr4T3WmzQSdbbAxavjB4neZz3V2y,3.1239948672490004e+06,2024-12-12 13:34:29.000 UTC
8yPuuQYRAyt8mHy8MHm9HiTGPWDsuNbHQW3YYM9uQNMh,3.038953841987001e+06,2024-12-12 20:42:33.000 UTC
3X7nQe1pCWjiYb2v2UE1sRm8qjNfHVkzkuLpLnBZe6FC,2.967655902254e+06,2024-11-24 14:34:05.000 UTC
4n5EQ4bNTxStNPZbXmSxppgu6KZdns14R2ttDPMjWj4E,2.9490618775119996e+06,2024-12-02 18:19:42.000 UTC
5nSYdRZ615ChMfPyphFg2UWiuidaLquHFtWp3RhaZnGQ,2.7899434779520016e+06,2024-12-02 01:29:44.000 UTC
7h1zHYBwH5KvhcdEMW3QhCVKSuxbXnNVydDBh5VU1BX8,2.7734985085040005e+06,2024-12-28 15:30:33.000 UTC
DmMfUa17Taz8MzC6ao4LXbsK6AFVvGwmAMe6V4LvEZFL,2.7660761463389993e+06,2024-12-18 06:47:40.000 UTC
EuuWqmJE42hjakCYYqhY6g9kpQ5zgMKtmG4bESEEBd1s,2.750168519626999e+06,2024-12-23 16:29:57.000 UTC
E8seardH9qSZqmGEbeH9X7F1dR8Dqx68MZFQxv5kyG6t,2.6932778768920004e+06,2024-11-16 06:33:09.000 UTC
B4XPRYfUU7pvTEfDa9vRH6vEDbBXmzJMKvnL6X3m591,2.690842488621e+06,2024-12-30 23:30:47.000 UTC
3iFchWofkKZjPheq6s9iwkcqQ96crGqsPreQA9uadQKA,2.68231837496e+06,2024-10-25 19:05:57.000 UTC
4PmXCWpCW7qALBQVeW1CTpzbnoX8cUnBBH5xTcDeBNpV,2.6640267880750005e+06,2024-12-19 12:08:13.000 UTC
F6HdhLwXjnH1QBPtWGRqtwkDMdbYPME6VfALvfY63hFL,2.613300367096e+06,2024-12-25 19:47:44.000 UTC
9AnjgN2gVW6GKYfAYriBNY2oiVE8C9PGdFNMdHFYQwKy,2.5985277726300005e+06,2024-12-27 20:32:39.000 UTC
HP4GqV2PAy85BjFUNKSKEfqDEbdhDnTVXmccwknhzePj,2.4748801833009995e+06,2024-11-13 13:00:43.000 UTC
4v5b6svYoxCFa1UhVFD6PcKCzTmcj9XRvmNPTwRend7p,2.4670912087499998e+06,2024-11-10 21:15:49.000 UTC
CNAduGRVyCsspDKRT42UEPRrbS2CLqArb2YTrs3dfyJT,2.4475665130200004e+06,2024-12-04 15:01:39.000 UTC
76KNaaKUXL8yRHGvUBP7ttvq5Z72QLcJCzEZy8Ef69p9,2.4323854905279996e+06,2024-09-19 00:01:03.000 UTC
6uwcZyvTSYfcZeN5KLkVJr2kxSbTv36addesaE5Bc63S,2.430463970491e+06,2024-12-18 22:27:46.000 UTC
xLScTxQTYs74hmzduaAzvMUVn2PAmMM4TmxJff4PZTr,2.3711335820410005e+06,2024-11-02 14:17:57.000 UTC
2LmDW3hLZ1bUQko8XnG5XQEbSuqCK2GQV9JcHbAkJKzk,2.3695490854449994e+06,2024-11-14 02:31:41.000 UTC
